html_chars,html_tokens,dom_nodes,css_decls,n_domains,parse_ok
3159,998,86,16,1,True
2386,763,60,16,1,True
2927,936,83,16,1,True
2012,655,43,16,1,True
2424,772,57,16,1,True
3019,957,86,16,1,True
2777,878,90,16,1,True
2603,829,62,16,1,True
1970,649,43,16,1,True
2953,908,72,16,1,True
2455,806,65,16,1,True
3080,936,79,16,1,True
2895,932,80,16,1,True
3066,957,80,16,1,True
2511,787,63,16,1,True
2051,671,46,16,1,True
3024,931,77,16,1,True
3119,984,86,16,1,True
2400,766,48,16,1,True
2833,866,69,16,1,True
2563,802,61,16,1,True
2989,908,69,16,1,True
3202,983,80,16,1,True
2753,856,68,16,1,True
2995,949,84,16,1,True
3050,939,80,16,1,True
3100,985,81,16,1,True
2738,888,76,16,1,True
3192,1000,86,16,1,True
2341,762,61,16,1,True
2670,796,79,16,0,True
2404,786,61,16,1,True
2386,768,57,16,1,True
2092,680,46,16,1,True
2883,938,83,16,1,True
3274,993,83,16,1,True
2072,623,51,16,1,True
2948,933,77,16,1,True
3027,937,81,16,1,True
3138,975,83,16,1,True
2297,721,50,16,1,True
2851,913,83,16,1,True
2974,951,83,16,1,True
2997,962,83,16,1,True
2298,682,60,16,1,True
2469,789,63,16,1,True
2982,923,77,16,1,True
2289,678,56,16,1,True
2238,723,51,16,1,True
2265,721,48,16,1,True
2974,941,86,16,1,True
2906,937,83,16,1,True
3018,953,83,16,1,True
3020,959,80,16,1,True
2468,818,69,16,1,True
1823,604,36,16,1,True
2491,787,64,16,1,True
2965,946,86,16,1,True
2934,940,83,16,1,True
3024,964,80,16,1,True
2277,746,57,16,1,True
3375,1012,80,16,1,True
1968,652,43,16,1,True
2762,838,87,16,1,True
2589,831,62,16,1,True
2282,727,54,16,1,True
2258,723,54,16,1,True
3017,955,80,16,1,True
2518,791,59,16,1,True
1819,607,36,16,1,True
2939,922,77,16,1,True
2068,620,52,16,1,True
2506,807,61,16,1,True
2464,771,57,16,1,True
3014,954,80,16,1,True
2887,919,77,16,1,True
3127,959,80,16,1,True
3127,966,77,16,1,True
2339,757,57,16,1,True
3193,991,83,16,1,True
3049,945,80,16,1,True
2239,715,51,16,1,True
1753,599,37,16,1,True
1960,654,46,16,1,True
2946,949,86,16,1,True
3111,971,86,16,1,True
3249,992,80,16,1,True
2511,811,65,16,1,True
2557,838,66,16,1,True
2835,946,76,16,1,True
2830,916,80,16,1,True
3075,961,83,16,1,True
1776,596,36,16,1,True
2123,699,51,16,1,True
2714,875,68,16,1,True
3160,980,83,16,1,True
2295,754,54,16,1,True
2213,703,46,16,1,True
2624,841,69,16,1,True
2306,754,57,16,1,True
2271,707,49,16,1,True
2546,817,68,16,1,True
2389,757,54,16,1,True
2422,761,54,16,1,True
2717,869,71,16,1,True
1937,636,40,16,1,True
2960,934,80,16,1,True
1870,610,34,16,1,True
2486,805,65,16,1,True
3135,972,86,16,1,True
2246,722,50,16,1,True
3114,951,80,16,1,True
2839,910,77,16,1,True
2272,730,54,16,1,True
2760,898,77,16,1,True
3127,983,86,16,1,True
1881,621,42,16,1,True
2015,647,43,16,1,True
2265,724,48,16,1,True
2496,791,63,16,1,True
2998,951,86,16,1,True
2036,673,49,16,1,True
3080,994,80,16,1,True
2561,805,60,16,1,True
3620,1050,80,16,1,True
2933,922,80,16,1,True
3303,995,77,16,1,True
2945,902,75,16,1,True
3152,972,77,16,1,True
2915,951,86,16,1,True
2986,954,80,16,1,True
3272,991,80,16,1,True
2985,943,80,16,1,True
2896,867,83,16,1,True
2337,748,55,16,1,True
3059,930,77,16,1,True
3208,989,83,16,1,True
2289,737,54,16,1,True
3209,984,80,16,1,True
2352,756,55,16,1,True
3322,997,83,16,1,True
2860,935,83,16,1,True
3154,962,86,16,1,True
3393,1037,86,16,1,True
2305,749,57,16,1,True
2300,743,57,16,1,True
3114,955,77,16,1,True
2487,787,59,16,1,True
1738,573,32,16,1,True
2574,829,66,16,1,True
2094,672,46,16,1,True
2729,899,80,16,1,True
2928,944,86,16,1,True
2858,921,83,16,1,True
2895,852,80,16,1,True
2296,744,55,16,1,True
2378,757,51,16,1,True
3084,964,86,16,1,True
2803,883,75,16,1,True
2572,820,65,16,1,True
2894,894,85,16,1,True
1949,650,46,16,1,True
2266,740,54,16,1,True
3010,962,86,16,1,True
3054,970,86,16,1,True
2509,800,62,16,1,True
2403,759,57,16,1,True
2354,754,54,16,1,True
2733,890,77,16,1,True
2248,756,60,16,1,True
3027,961,83,16,1,True
2232,694,72,16,0,True
2927,940,77,16,1,True
3312,1003,80,16,1,True
2426,805,65,16,1,True
3131,956,86,16,1,True
2413,745,54,16,1,True
2318,754,63,16,1,True
2995,936,80,16,1,True
2822,909,76,16,1,True
2634,802,77,16,1,True
2075,632,59,16,1,True
2950,933,77,16,1,True
2783,826,77,16,1,True
2656,824,72,16,1,True
2271,736,52,16,1,True
2771,908,77,16,1,True
2816,917,80,16,1,True
2373,752,57,16,1,True
2804,902,77,16,1,True
2379,762,56,16,1,True
3298,1070,101,16,1,True
3110,967,83,16,1,True
2767,877,71,16,1,True
2325,742,54,16,1,True
3138,949,77,16,1,True
2404,774,61,16,1,True
2578,799,77,16,1,True
3103,985,86,16,1,True
3037,946,84,16,1,True
3184,976,86,16,1,True
3057,940,83,16,1,True
2752,876,72,16,1,True
2395,775,63,16,1,True
2445,808,69,16,1,True
3066,958,83,16,1,True
3176,999,86,16,1,True
1806,603,36,16,1,True
2341,774,60,16,1,True
2448,779,63,16,1,True
2888,933,83,16,1,True
2465,793,64,16,1,True
2637,846,71,16,1,True
3028,988,86,16,1,True
2877,925,77,16,1,True
2362,762,57,16,1,True
2959,945,83,16,1,True
3155,944,77,16,1,True
3226,977,83,16,1,True
2984,941,83,16,1,True
3104,970,84,16,1,True
3081,977,86,16,1,True
3175,985,86,16,1,True
3339,1020,83,16,1,True
3320,1004,83,16,1,True
2882,939,80,16,1,True
3049,945,80,16,1,True
2921,952,86,16,1,True
2139,690,43,16,1,True
2946,942,83,16,1,True
2946,945,80,16,1,True
3018,953,86,16,1,True
2849,846,80,16,1,True
2094,660,60,16,1,True
2940,936,77,16,1,True
2533,822,68,16,1,True
2457,769,60,16,1,True
2356,777,60,16,1,True
2875,924,83,16,1,True
3491,1035,80,16,1,True
2764,909,80,16,1,True
3078,959,80,16,1,True
2557,819,66,16,1,True
2911,882,83,16,1,True
2413,781,63,16,1,True
2126,704,51,16,1,True
3148,961,78,16,1,True
2078,680,49,16,1,True
3238,1033,91,16,1,True
2954,939,83,16,1,True
2502,828,68,16,1,True
2004,609,51,16,1,True
3238,990,86,16,1,True
2378,771,54,16,1,True
2377,786,60,16,1,True
3055,966,83,16,1,True
3209,962,77,16,1,True
2705,861,71,16,1,True
3035,957,80,16,1,True
2586,844,67,16,1,True
2833,928,86,16,1,True
3018,939,80,16,1,True
3161,990,83,16,1,True
2187,736,54,16,1,True
2296,741,54,16,1,True
3148,975,77,16,1,True
2189,720,54,16,1,True
2443,783,60,16,1,True
3229,982,83,16,1,True
3301,991,77,16,1,True
2852,880,66,16,1,True
1959,661,46,16,1,True
2273,758,57,16,2,True
2817,913,77,16,1,True
2209,696,46,16,1,True
2513,792,83,16,1,True
2696,869,71,16,1,True
2417,766,60,16,1,True
1833,549,46,16,1,True
2108,692,47,16,1,True
2995,944,80,16,1,True
2392,770,60,16,1,True
2496,799,62,16,1,True
2368,785,63,16,1,True
2993,949,83,16,1,True
3016,962,83,16,1,True
2256,731,52,16,1,True
2943,928,80,16,1,True
2164,719,51,16,1,True
3103,963,83,16,1,True
2325,772,60,16,1,True
2971,925,78,16,1,True
2911,860,83,16,1,True
2501,826,71,16,1,True
3088,972,86,16,1,True
2855,918,77,16,1,True
2805,917,81,16,1,True
1842,617,40,16,1,True
2060,659,43,16,1,True
2806,916,80,16,1,True
2605,840,66,16,1,True
2343,745,54,16,1,True
2987,951,87,16,1,True
2732,854,68,16,1,True
1897,624,42,16,1,True
3093,945,83,16,1,True
2920,927,80,16,1,True
3122,970,83,16,1,True
3273,1007,90,16,1,True
2901,867,77,16,1,True
3340,1048,90,16,1,True
2722,883,78,16,1,True
2992,953,77,16,1,True
3129,963,86,16,1,True
3059,946,77,16,1,True
3148,978,83,16,1,True
3618,1076,94,16,1,True
3157,1005,86,16,1,True
2264,737,54,16,1,True
2542,812,62,16,1,True
3025,941,77,16,1,True
2233,720,51,16,1,True
3007,942,83,16,1,True
3172,981,83,16,1,True
3090,955,87,16,1,True
2186,722,51,16,1,True
2781,901,77,16,1,True
3029,960,83,16,1,True
3000,930,80,16,1,True
2334,744,52,16,1,True
2008,645,40,16,1,True
2976,963,86,16,1,True
1871,623,42,16,1,True
2969,935,77,16,1,True
2274,747,54,16,1,True
3086,957,83,16,1,True
3054,950,80,16,1,True
2492,764,75,16,1,True
3138,960,77,16,1,True
2931,929,77,16,1,True
3049,940,77,16,1,True
2358,765,57,16,1,True
2265,737,54,16,1,True
3060,937,80,16,1,True
2131,695,48,16,1,True
3195,977,86,16,1,True
2953,945,80,16,1,True
2987,956,80,16,1,True
3161,1000,86,16,1,True
3070,952,83,16,1,True
3073,950,83,16,1,True
2671,855,68,16,1,True
2859,888,72,16,1,True
3029,952,86,16,1,True
2185,723,54,16,1,True
2276,743,54,16,1,True
3068,961,77,16,1,True
3040,961,80,16,1,True
2975,944,83,16,1,True
3048,951,83,16,1,True
3090,964,86,16,1,True
3045,963,86,16,1,True
2362,759,55,16,1,True
2723,868,69,16,1,True
3090,974,86,16,1,True
2729,816,80,16,1,True
2894,925,77,16,1,True
2466,813,66,16,1,True
2297,733,52,16,1,True
2934,943,83,16,1,True
3229,983,77,16,1,True
3083,975,86,16,1,True
2229,748,57,16,1,True
3147,1003,86,16,1,True
3081,954,80,16,1,True
3108,949,77,16,1,True
3147,983,86,16,1,True
3024,946,77,16,1,True
2230,719,51,16,1,True
2613,836,68,16,1,True
2988,955,86,16,1,True
2844,846,86,16,1,True
3162,960,77,16,1,True
3253,974,80,16,1,True
2640,835,68,16,1,True
2278,660,57,16,1,True
2964,949,77,16,1,True
2355,776,59,16,1,True
1836,617,42,16,1,True
2993,957,83,16,1,True
2068,683,47,16,1,True
2394,767,57,16,1,True
2774,898,77,16,1,True
2673,866,75,16,1,True
2442,777,60,16,1,True
1771,592,33,16,1,True
3283,989,86,16,1,True
3059,959,83,16,1,True
2702,847,68,16,1,True
2195,710,49,16,1,True
2859,938,86,16,1,True
1787,596,36,16,1,True
3063,976,83,16,1,True
3005,933,77,16,1,True
3049,951,80,16,1,True
2950,936,78,16,1,True
2985,939,77,16,1,True
2166,663,63,16,1,True
3325,1031,86,16,1,True
2949,922,77,16,1,True
3004,937,77,16,1,True
3210,1000,86,16,1,True
2615,833,69,16,1,True
2194,647,54,16,1,True
3447,1051,91,16,1,True
3113,960,82,16,1,True
2368,701,60,16,1,True
3416,1012,83,16,1,True
2349,759,57,16,1,True
3060,977,87,16,1,True
2329,739,51,16,1,True
1689,577,33,16,1,True
2891,925,77,16,1,True
3078,970,80,16,1,True
3263,983,80,16,1,True
3087,978,86,16,1,True
3269,995,83,16,1,True
2927,947,83,16,1,True
2469,777,60,16,1,True
2274,726,53,16,1,True
2719,825,86,16,1,True
2219,728,55,16,1,True
3128,969,83,16,1,True
2725,873,71,16,1,True
2940,928,77,16,1,True
2963,945,80,16,1,True
2687,901,77,16,1,True
2588,842,68,16,1,True
3039,952,83,16,1,True
2153,698,48,16,1,True
2519,780,57,16,1,True
3051,947,80,16,1,True
2124,638,57,16,1,True
3082,955,80,16,1,True
3088,983,84,16,1,True
3187,981,80,16,1,True
2192,711,48,16,1,True
2455,725,68,16,1,True
2591,820,62,16,1,True
2712,862,71,16,1,True
2892,920,77,16,1,True
2324,770,64,16,1,True
3102,941,77,16,1,True
3037,970,86,16,1,True
2615,845,69,16,1,True
2277,729,51,16,1,True
2603,831,65,16,1,True
2771,872,71,16,1,True
1955,644,40,16,1,True
2079,684,50,16,1,True
2856,926,77,16,1,True
2503,794,61,16,1,True
2236,739,55,16,1,True
2560,806,56,17,1,True
2385,767,61,16,1,True
2807,898,77,16,1,True
2957,952,86,16,1,True
2310,735,52,16,1,True
2988,940,77,16,1,True
2554,807,60,16,1,True
3023,950,83,16,1,True
3010,948,86,16,1,True
2818,930,86,16,1,True
2552,819,65,16,1,True
3185,989,86,16,1,True
3647,1075,83,16,1,True
2525,786,63,16,1,True
3245,998,77,16,1,True
2825,912,77,16,1,True
2679,780,75,16,1,True
3496,1062,86,16,1,True
2631,813,62,16,1,True
2921,927,77,16,1,True
2432,782,63,16,1,True
2719,851,69,16,1,True
2148,659,63,16,1,True
3018,962,83,16,1,True
2331,739,51,16,1,True
2301,743,57,16,1,True
2213,713,52,16,1,True
2991,945,83,16,1,True
3051,978,86,16,1,True
2618,868,71,16,1,True
3191,950,77,16,1,True
2869,901,71,16,1,True
2035,661,43,16,1,True
2232,725,48,16,1,True
2964,934,83,16,1,True
2988,932,72,16,1,True
1927,629,39,16,1,True
3089,961,86,16,1,True
3063,968,83,16,1,True
3011,943,80,16,1,True
3016,954,86,16,1,True
2834,895,78,16,1,True
2525,798,65,16,1,True
2366,763,56,16,1,True
3074,941,77,16,1,True
2443,785,56,16,1,True
3076,968,84,16,1,True
2780,890,75,16,1,True
2759,883,75,16,1,True
1781,592,33,16,1,True
3299,1004,83,16,1,True
1810,603,36,16,1,True
3256,996,83,16,1,True
2436,721,59,16,1,True
2993,955,83,16,1,True
2046,662,40,16,1,True
1886,631,42,16,1,True
1831,609,39,16,1,True
3298,963,82,16,1,True
2448,773,55,16,1,True
2527,824,62,16,1,True
1856,625,39,16,1,True
2779,890,75,16,1,True
2839,897,78,16,1,True
3316,1005,86,16,1,True
2489,778,54,16,1,True
2537,787,80,16,1,True
2943,947,86,16,1,True
2318,727,48,16,1,True
2349,778,63,16,1,True
3509,1077,91,16,1,True
2989,944,83,16,1,True
2152,710,54,16,1,True
2931,927,77,16,1,True
2664,832,71,16,1,True
2227,721,51,16,1,True
3122,956,77,16,1,True
2071,689,50,16,1,True
3093,957,77,16,1,True
2950,956,80,16,1,True
3115,967,83,16,1,True
3205,1008,86,16,1,True
2781,816,80,16,1,True
2787,913,83,16,1,True
2320,755,55,16,1,True
3094,944,80,16,1,True
2595,837,68,16,1,True
2167,741,54,16,1,True
2721,819,83,16,1,True
2908,938,83,16,1,True
2281,663,52,16,1,True
2588,879,78,16,1,True
2326,759,60,16,1,True
2265,731,51,16,1,True
2941,939,77,16,1,True
2972,950,86,16,1,True
2257,737,54,16,1,True
2993,940,83,16,1,True
2086,675,49,16,1,True
2557,805,62,16,1,True
3131,974,77,16,1,True
1993,663,46,16,1,True
3000,978,87,16,1,True
2707,893,77,16,1,True
2728,869,71,16,1,True
1976,660,46,16,1,True
2952,931,80,16,1,True
2209,717,49,16,1,True
1990,671,49,16,1,True
3008,928,80,16,1,True
2941,939,83,16,1,True
1877,614,38,16,1,True
2435,804,68,16,1,True
2990,954,86,16,1,True
2380,757,54,16,1,True
2085,695,48,16,1,True
2945,922,80,16,1,True
3042,933,77,16,1,True
2606,842,71,16,1,True
2793,918,77,16,1,True
2967,926,77,16,1,True
2043,672,46,16,1,True
3069,978,86,16,1,True
3131,995,86,16,1,True
3038,948,80,16,1,True
2557,825,65,16,1,True
2778,874,72,16,1,True
3117,958,80,16,1,True
3164,988,83,16,1,True
3178,983,83,16,1,True
