sample_id,source_name,framework,css_framework,component_type,element_count_reported,code_tokens,tokens_img,tokens_total,img_w,img_h,html_chars,css_chars,css_chars_src,html_chars_src,css_decls,css_rules,n_domains,accept_via,final_score,pixel_sim,dom_nodes,parse_ok,png_blank
5c73bbcad661,codepen,vanilla,vanilla,form,33,1437,1000,2437,1280,800,4598,2532,4186,2056,62,17,0,pixel,,1.0,45,True,False
12c23a744f31,codepen,angular,vanilla,component,41,1309,2048,3357,1280,5014,5150,822,1286,4286,38,16,0,pixel,,1.0,64,True,False
9c637555c906,codepen,vanilla,vanilla,component,15,497,1009,1506,1288,802,1541,344,627,908,19,5,1,pixel,,1.0,20,True,False
7eb087449073,codepen,vanilla,vanilla,component,5,973,900,1873,1280,720,2149,1875,2210,372,65,12,0,pixel,,1.0,9,True,False
7e445f857cb5,github,vanilla,tailwind,form,507,13018,2048,15066,1280,19437,39401,0,0,31806,0,0,53,pixel,,0.9990529632080147,607,True,False
8dc750606d20,sap-fundamental-styles,vanilla,vanilla,page,21,316,900,1216,1280,720,932,234,94367,656,12,4,0,pixel,,1.0,26,True,False
35f2e1d7a8d7,github,vanilla,vanilla,page,356,7586,2048,9634,1280,5448,22709,6288,19381,13456,264,73,0,pixel,,1.0,480,True,False
edd9dde56973,codepen,vanilla,vanilla,component,29,3014,1151,4165,1280,921,8064,6752,10136,1270,338,98,1,metric,0.9919541304990128,0.8901356225280505,35,True,False
98ff0f808be7,codepen,vanilla,vanilla,component,44,1942,916,2858,1288,728,4867,3156,23710,1669,84,34,1,pixel,,1.0,52,True,False
29757c9918ed,github,angular,tailwind,form,138,6492,2048,8540,1280,1697,16452,0,0,17650,0,0,6,pixel,,1.0,138,True,False
c4702874f8e5,codepen,vanilla,tailwind,list,66,2022,2048,4070,1288,3401,6744,1463,2593,5239,64,27,4,pixel,,1.0,129,True,False
954351fa35d8,three-drei,vanilla,vanilla,page,5,134,900,1034,1280,720,393,0,13046,352,0,0,0,pixel,,1.0,5,True,False
ba0db218d935,codepen,vanilla,vanilla,card,12,3339,2048,5387,1280,1898,14112,71,88,13999,3,2,0,pixel,,1.0,23,True,False
495790a01245,codepen,vanilla,vanilla,form,5,566,900,1466,1280,720,1841,1530,2166,269,34,12,1,pixel,,1.0,10,True,False
dbab73c77537,github,vanilla,tailwind,page,94,3839,2048,5887,1280,2605,10407,5145,8243,5041,207,60,1,pixel,,1.0,138,True,False
a416fad88b0f,codepen,vanilla,vanilla,component,12,583,910,1493,1280,728,1679,1131,1664,506,27,15,0,pixel,,1.0,19,True,False
019c6d6df756,github,vue,vanilla,button,232,4290,2048,6338,1280,4847,15436,0,0,15060,0,0,0,pixel,,1.0,291,True,False
86beea644fb9,codepen,vanilla,vanilla,page,116,3437,2048,5485,1280,2598,11854,2918,4289,8894,116,28,0,pixel,,1.0,215,True,False
47e03dd0cad8,codepen,angular,tailwind,button,45,2338,1518,3856,1280,1214,5365,0,0,5313,0,0,0,pixel,,1.0,55,True,False
5d27b0d9609d,codepen,vanilla,vanilla,page,13,1301,900,2201,1280,720,3898,3252,6073,604,108,18,1,pixel,,1.0,18,True,False
881f1e3e94bb,github,angular,vanilla,button,112,2108,2048,4156,1280,3602,7250,0,0,6399,0,0,0,pixel,,1.0,140,True,False
26e2d5b16478,lapaninja,react,tailwind,button,2005,60560,2048,62608,1326,30978,194510,5217,15413,199521,96,53,11,pixel,,1.0,2515,True,False
15694166a64b,github,angular,tailwind,button,357,7370,2048,9418,1280,8585,25688,0,0,24079,0,0,0,pixel,,1.0,450,True,False
faad76d7cb55,github,vanilla,vanilla,page,8,153,1000,1153,1280,800,470,157,336,230,8,2,0,pixel,,1.0,8,True,False
e1990f4b26ce,github,angular,vanilla,page,106,4732,2048,6780,1280,2670,14393,6364,14669,7363,166,53,4,metric,0.9975262916785184,0.9016713045356146,173,True,False
3b6caa43eb6a,codepen,angular,vanilla,accordion,20,1358,900,2258,1280,720,4824,1138,2323,3644,27,11,1,pixel,,1.0,36,True,False
1fef01ea146a,w3schools,vanilla,vanilla,page,8,203,2048,2251,1280,3029,537,188,207,336,4,2,0,pixel,,1.0,12,True,False
3ab9dac4b63e,github,vanilla,vanilla,card,49,395,900,1295,1280,720,1332,146,265,2902,7,1,1,pixel,,1.0,28,True,False
3dd11ce1e861,github,react,tailwind,button,230,9466,2048,11514,1280,3956,27729,0,100,29291,0,0,12,pixel,,1.0,259,True,False
77de90133302,codepen,vanilla,vanilla,progress,29,1442,1594,3036,1280,1275,3935,2531,3120,1362,72,24,0,pixel,,1.0,48,True,False
041775c6f107,github,vanilla,tailwind,button,192,3404,2048,5452,1280,5613,11582,0,0,10318,0,0,9,pixel,,1.0,238,True,False
69eb61697321,codepen,vanilla,vanilla,component,8,560,900,1460,1280,720,1733,1162,1395,529,24,12,0,pixel,,1.0,18,True,False
298a234cfe0d,codepen,vanilla,vanilla,table,50,1832,1529,3361,1280,1223,6282,53,55,6013,1,1,3,pixel,,1.0,74,True,False
ac1715ef7fb5,github,angular,vanilla,button,202,3784,2048,5832,1280,5804,11896,291,2882,10546,18,2,0,pixel,,1.0,252,True,False
2ba386c4041f,codepen,vanilla,vanilla,component,12,335,2048,2383,1280,1750,842,21,27,1060,1,1,0,pixel,,1.0,19,True,False
